visit_date,name,dob,Theft_occured
16/06/2016,Brenda Mathis,15/01/1995,0
16/06/2016,Virginia Smith,2/02/1995,0
16/06/2016,Frances Netherton,8/02/1995,0
16/06/2016,Gary Hansberger,8/02/1995,0
16/06/2016,Joseph Young,17/02/1995,0
16/06/2016,Rebecca Lynch,25/02/1995,0
16/06/2016,Caleb Jobe,2/03/1995,0
16/06/2016,Phillip Daley,12/03/1995,0
16/06/2016,Luz Connelly,26/03/1995,0
16/06/2016,Dorothy Elkins,12/04/1995,0
16/06/2016,Nathaniel Irving,18/04/1995,0
16/06/2016,Fredrick Acevedo,7/05/1995,0
16/06/2016,Betty Rowold,21/05/1995,0
16/06/2016,Walter Chesnutt,24/05/1995,0
16/06/2016,Nicholas Lewis,4/06/1995,0
16/06/2016,Nicholas Acosta,5/06/1995,0
16/06/2016,Theodore Roper,7/06/1995,0
16/06/2016,Lillie Sikes,27/06/1995,0
16/06/2016,Karla Breaux,10/07/1995,0
16/06/2016,Willie Gould,10/07/1995,0
16/06/2016,Adrienne Ruck,13/07/1995,0
16/06/2016,Patrick Kerley,13/07/1995,0
16/06/2016,Deborah Rosenfeld,14/07/1995,0
16/06/2016,Margo Ward,14/07/1995,0
16/06/2016,Robert Haine,14/07/1995,0
16/06/2016,Douglas Medina,19/07/1995,0
16/06/2016,Ralph Brisson,26/07/1995,0
16/06/2016,David Lombardi,3/08/1995,0
16/06/2016,Margaret Magallanes,7/08/1995,0
16/06/2016,Monica Loureiro,24/08/1995,0
16/06/2016,Peter Romo,25/08/1995,0
16/06/2016,Marcia Coleman,8/09/1995,0
16/06/2016,Sarah Wilds,8/09/1995,0
16/06/2016,Kathleen Benzi,15/09/1995,0
16/06/2016,Kenneth Caldeira,15/09/1995,0
16/06/2016,Thaddeus Diaz,9/10/1995,0
16/06/2016,Wayne Roop,9/10/1995,0
16/06/2016,Edward Brown,11/10/1995,0
16/06/2016,Todd Thompson,13/10/1995,0
16/06/2016,Virginia Quarry,13/10/1995,0
16/06/2016,Billy Willick,14/10/1995,0
16/06/2016,Ofelia Sexton,27/10/1995,0
16/06/2016,Eula Wright,20/11/1995,0
16/06/2016,Vickie Carlos,21/11/1995,0
16/06/2016,Ollie Rogers,25/11/1995,0
16/06/2016,Jonathan Saballos,28/11/1995,0
16/06/2016,Dawn Douglas,10/12/1995,0
16/06/2016,Guillermo Johnson,10/12/1995,0
16/06/2016,Hazel Jefferies,14/12/1995,0
16/06/2016,Johnie Johnson,28/12/1995,0
16/06/2016,Ronald Snook,3/01/1996,0
16/06/2016,Margaret Hickman,8/01/1996,0
16/06/2016,Nicole Mcglone,13/01/1996,0
16/06/2016,Susan Hart,13/01/1996,0
16/06/2016,Wes Carlson,13/01/1996,0
16/06/2016,Frances Schiavone,26/01/1996,0
16/06/2016,Jeffery Rosenthal,30/01/1996,0
16/06/2016,Steven Jones,3/02/1996,0
16/06/2016,John Davis,5/02/1996,0
16/06/2016,James Honor,9/02/1996,0
16/06/2016,Robert Ewing,9/02/1996,0
16/06/2016,Edgar Roth,19/02/1996,0
16/06/2016,Samantha Vazquez,19/02/1996,0
16/06/2016,Jennell Thompson,24/02/1996,0
16/06/2016,Haley Fundora,2/03/1996,0
16/06/2016,Cynthia Barrier,10/03/1996,0
16/06/2016,Kathryn Starr,11/03/1996,0
16/06/2016,Jack Hawkins,23/03/1996,0
16/06/2016,Susan Brown,23/03/1996,0
16/06/2016,Cheryl Robinson,5/04/1996,0
16/06/2016,Adam Johnson,11/04/1996,0
16/06/2016,Joan Robinson,22/04/1996,0
16/06/2016,James Lundborg,2/05/1996,0
16/06/2016,William Legg,9/05/1996,0
16/06/2016,Roger Ballance,16/05/1996,0
16/06/2016,Michelle Hampton,20/05/1996,0
16/06/2016,Michael Selfridge,22/05/1996,0
16/06/2016,Troy Gilmore,24/05/1996,0
16/06/2016,Ardis Haley,29/05/1996,0
16/06/2016,Jason Villegas,8/06/1996,0
16/06/2016,Jennifer Gearhart,14/06/1996,0
16/06/2016,Brian Lane,16/06/1996,0
16/06/2016,William Dowd,18/06/1996,0
16/06/2016,Henry Brunson,21/06/1996,0
16/06/2016,Laura Ingram,22/06/1996,0
16/06/2016,Justin Achenbach,29/06/1996,0
16/06/2016,Felicia Preece,9/07/1996,0
16/06/2016,Florine Kim,14/07/1996,0
16/06/2016,Nellie Carney,19/07/1996,0
16/06/2016,Ruby Pace,24/07/1996,0
16/06/2016,Russell Osborn,27/07/1996,0
16/06/2016,Cheryl Harris,30/07/1996,0
16/06/2016,Joelle Grimaud,3/08/1996,0
16/06/2016,Leroy Smith,9/08/1996,0
16/06/2016,Margaret Jones,9/08/1996,0
16/06/2016,James Rainey,13/08/1996,0
16/06/2016,Charles Shearer,14/08/1996,0
16/06/2016,Clinton Robinson,15/08/1996,0
16/06/2016,Edith Alexander,18/08/1996,0
16/06/2016,Lucia Davis,22/08/1996,0
16/06/2016,Leroy Gennaro,30/08/1996,0
16/06/2016,Sammy Fox,31/08/1996,0
16/06/2016,Larry Drabant,3/09/1996,0
16/06/2016,Michael Walden,3/09/1996,0
16/06/2016,Jeffrey Snow,9/09/1996,0
16/06/2016,Jennifer Miller,16/09/1996,0
16/06/2016,Lisa Clark,22/09/1996,0
16/06/2016,Joshua Braswell,29/09/1996,0
16/06/2016,Earl Gafford,30/09/1996,0
16/06/2016,Jenni Ager,1/10/1996,0
16/06/2016,Sanford Huffman,2/10/1996,0
16/06/2016,Jane Burton,18/10/1996,0
16/06/2016,Goldie Allred,28/10/1996,0
16/06/2016,Craig Burks,4/11/1996,0
16/06/2016,Willie Gould,8/11/1996,0
16/06/2016,Valeria Vickers,12/11/1996,0
16/06/2016,Evalyn Kenney,14/11/1996,0
16/06/2016,Jordan Figueroa,18/11/1996,0
16/06/2016,Christine Victoria,26/11/1996,0
16/06/2016,John Borden,27/11/1996,0
16/06/2016,Fred Massenburg,2/12/1996,0
16/06/2016,Suzanne Larson,2/12/1996,0
16/06/2016,Owen Wessel,4/12/1996,0
16/06/2016,Michael Sutton,5/12/1996,0
16/06/2016,Dan Saunders,6/12/1996,0
16/06/2016,Keith Rains,15/12/1996,0
16/06/2016,Ivan Sundby,23/12/1996,0
16/06/2016,Olivia Aspinall,24/12/1996,0
16/06/2016,Daniel Cortez,28/12/1996,0
16/06/2016,Gary Arnold,30/12/1996,0
16/06/2016,Jeanette Kiser,16/01/1997,0
16/06/2016,Earl Weber,24/01/1997,0
16/06/2016,Eugene Velo,25/01/1997,0
16/06/2016,Phillip Brown,8/02/1997,0
16/06/2016,Michael Hill,16/02/1997,0
16/06/2016,Zenobia Yahna,19/02/1997,0
16/06/2016,Leslie Casey,7/03/1997,0
16/06/2016,Alfredo Vinci,8/03/1997,0
16/06/2016,Helena Carranza,10/03/1997,0
16/06/2016,Jeffrey Peoples,19/03/1997,0
16/06/2016,Robin Wilson,22/03/1997,0
16/06/2016,Mary Vanauker,24/03/1997,0
16/06/2016,Shirley Saucedo,2/04/1997,0
16/06/2016,Thomas Mann,5/04/1997,0
16/06/2016,Keith Bowers,6/04/1997,0
16/06/2016,Jeanette Stupar,10/04/1997,0
16/06/2016,Dwight Roland,12/04/1997,0
16/06/2016,Adrienne Raney,16/04/1997,0
16/06/2016,Robert Zohn,22/04/1997,0
16/06/2016,Sammy Bliss,24/04/1997,0
16/06/2016,Sandra Gavenda,24/04/1997,0
16/06/2016,Donna Riess,1/05/1997,0
16/06/2016,William Jones,5/05/1997,0
16/06/2016,Thomas Vanderwal,6/05/1997,0
16/06/2016,Mary Curtis,8/05/1997,0
16/06/2016,Charles Crandall,12/05/1997,0
16/06/2016,Lawrence Olsen,15/05/1997,0
16/06/2016,Kayla Coggins,17/05/1997,0
16/06/2016,Donald Ortiz,22/05/1997,0
16/06/2016,Bruce Killeen,23/05/1997,0
16/06/2016,Kevin Franklin,31/05/1997,0
16/06/2016,Christopher Mather,2/06/1997,0
16/06/2016,Joseph Franklin,8/06/1997,0
16/06/2016,German Gallian,12/06/1997,0
16/06/2016,Kellie Florio,13/06/1997,0
16/06/2016,Thomas Palomo,9/07/1997,0
16/06/2016,Esther Swain,12/07/1997,0
16/06/2016,Charles Betts,18/07/1997,0
16/06/2016,Morris Thompson,18/07/1997,0
16/06/2016,Thomas Harbert,21/07/1997,0
16/06/2016,Frank Figueroa,23/07/1997,0
16/06/2016,Laura Ortiz,23/07/1997,0
16/06/2016,Barbara Grams,3/08/1997,0
16/06/2016,Donald Reddout,29/08/1997,0
16/06/2016,Melody Whitlock,5/09/1997,0
16/06/2016,Sharon Barton,8/09/1997,0
16/06/2016,Gayle Alexander,16/09/1997,0
16/06/2016,Melissa Cashman,16/09/1997,0
16/06/2016,Alice Seidel,18/09/1997,0
16/06/2016,Jenny Mcnabb,25/09/1997,0
16/06/2016,Christina Angell,27/09/1997,0
16/06/2016,Louis Timchula,7/10/1997,0
16/06/2016,Kathryn Dean,11/10/1997,0
16/06/2016,Stephanie Dolphin,8/11/1997,0
16/06/2016,Michelle Riesner,18/11/1997,0
17/06/2016,Samuel Casanova,12/03/1990,1
17/06/2016,Lauryn George,17/10/1991,1
17/06/2016,Sherry Wilder,26/04/1992,1
17/06/2016,Frances Bateman,6/05/1992,1
17/06/2016,Darrell Wilson,19/01/1993,1
17/06/2016,Joann Bright,26/02/1993,1
17/06/2016,William Rasmussen,17/03/1993,1
17/06/2016,Robert Shepherd,30/03/1993,1
17/06/2016,Dale Kirkwood,22/05/1993,1
17/06/2016,Geraldine Arreola,27/05/1993,1
17/06/2016,Patricia Whitley,8/06/1993,1
17/06/2016,Nellie Jaynes,2/08/1993,1
17/06/2016,Linda Eaton,21/08/1993,1
17/06/2016,Judith Sanders,26/08/1993,1
17/06/2016,Chris Macmillan,1/09/1993,1
17/06/2016,Georgia Stabler,18/09/1993,1
17/06/2016,Karen Keeney,25/12/1993,1
17/06/2016,Jeffrey Lamb,14/01/1994,1
17/06/2016,Ivory Edwards,14/02/1994,1
17/06/2016,Timothy Carroll,4/03/1994,1
17/06/2016,Patricia Johnson,7/03/1994,1
17/06/2016,John Bona,22/03/1994,1
17/06/2016,Laura Sotelo,6/04/1994,1
17/06/2016,Mary Laura,9/04/1994,1
17/06/2016,Maria Troutman,25/04/1994,1
17/06/2016,William Nork,21/06/1994,1
17/06/2016,Carey Hamilton,10/07/1994,1
17/06/2016,Debbie Mcneil,12/07/1994,1
17/06/2016,Mark Fitz,19/07/1994,1
17/06/2016,David Gismondi,21/07/1994,1
17/06/2016,Maribel Walters,30/07/1994,1
17/06/2016,Tabitha Bower,21/08/1994,1
17/06/2016,Ruby Stott,31/08/1994,1
17/06/2016,Roderick Anding,3/09/1994,1
17/06/2016,Joann Dimick,9/10/1994,1
17/06/2016,Brandon Moore,25/10/1994,1
17/06/2016,Matthew Ford,5/11/1994,1
17/06/2016,Effie Garcia,14/11/1994,1
17/06/2016,Michael Tade,17/11/1994,1
17/06/2016,Kirby Roberts,26/11/1994,1
17/06/2016,Sang Adams,5/12/1994,1
17/06/2016,Claudia Hughes,13/12/1994,1
17/06/2016,Barbara Mchale,19/12/1994,1
17/06/2016,Theresa Dixon,28/12/1994,1
17/06/2016,Carl Dowling,9/01/1995,1
17/06/2016,Daniel Reed,22/01/1995,1
17/06/2016,Virginia Smith,2/02/1995,1
17/06/2016,David Schaefer,26/03/1995,1
17/06/2016,Luz Connelly,26/03/1995,1
17/06/2016,Ann Mcguigan,2/04/1995,1
17/06/2016,Leonard Russell,9/04/1995,1
17/06/2016,Nathaniel Irving,18/04/1995,1
17/06/2016,Tina Taylor,3/05/1995,1
17/06/2016,Nicholas Lewis,4/06/1995,1
17/06/2016,Nicholas Acosta,5/06/1995,1
17/06/2016,Anita Ullrich,16/06/1995,1
17/06/2016,Brenda Miller,3/07/1995,1
17/06/2016,Karla Breaux,10/07/1995,1
17/06/2016,Adrienne Ruck,13/07/1995,1
17/06/2016,Deborah Rosenfeld,14/07/1995,1
17/06/2016,Douglas Medina,19/07/1995,1
17/06/2016,Tara Gonzalez,23/07/1995,1
17/06/2016,Peter Romo,25/08/1995,1
17/06/2016,Tom Jackson,29/08/1995,1
17/06/2016,Kathleen Benzi,15/09/1995,1
17/06/2016,Kenneth Caldeira,15/09/1995,1
17/06/2016,Thomas Collins,1/10/1995,1
17/06/2016,Virginia Orr,18/10/1995,1
17/06/2016,Barbara Brahler,3/11/1995,1
17/06/2016,Lynn Bernhart,13/11/1995,1
17/06/2016,Jerry Carroll,19/11/1995,1
17/06/2016,Eula Wright,20/11/1995,1
17/06/2016,Jonathan Saballos,28/11/1995,1
17/06/2016,Dawn Gandara,9/12/1995,1
17/06/2016,Guillermo Johnson,10/12/1995,1
17/06/2016,Hulda Nogle,13/12/1995,1
17/06/2016,Joseph Hirneise,18/12/1995,1
17/06/2016,Oscar Charles,3/01/1996,1
17/06/2016,Ronald Snook,3/01/1996,1
17/06/2016,Margaret Hickman,8/01/1996,1
17/06/2016,Wes Carlson,13/01/1996,1
17/06/2016,John Gill,18/01/1996,1
17/06/2016,Frances Schiavone,26/01/1996,1
17/06/2016,Shirley Ivey,30/01/1996,1
17/06/2016,Victor Ortiz,3/02/1996,1
17/06/2016,Henry Rios,5/02/1996,1
17/06/2016,Helen Coleman,9/02/1996,1
17/06/2016,James Honor,9/02/1996,1
17/06/2016,Frank White,10/02/1996,1
17/06/2016,Arlena Raven,11/02/1996,1
17/06/2016,Julia Lewis,13/02/1996,1
17/06/2016,Linda Gomez,8/03/1996,1
17/06/2016,Susan Brown,23/03/1996,1
17/06/2016,Angelo Kessler,5/04/1996,1
17/06/2016,Cheryl Robinson,5/04/1996,1
17/06/2016,Sylvia Bailey,10/04/1996,1
17/06/2016,Chris Mayer,14/04/1996,1
17/06/2016,Hazel Olberding,16/04/1996,1
17/06/2016,Sharleen Johnson,17/04/1996,1
17/06/2016,Jimmy Smiley,19/04/1996,1
17/06/2016,Henry Torres,2/05/1996,1
17/06/2016,George Walters,4/05/1996,1
17/06/2016,James Hemingway,10/05/1996,1
17/06/2016,Betty Young,15/05/1996,1
17/06/2016,John Flora,15/05/1996,1
17/06/2016,Cynthia Dominquez,16/05/1996,1
17/06/2016,Roger Ballance,16/05/1996,1
17/06/2016,Michael Selfridge,22/05/1996,1
17/06/2016,Joseph Blanco,2/06/1996,1
17/06/2016,Sherry Stewart,7/06/1996,1
17/06/2016,Christopher Neri,10/06/1996,1
17/06/2016,Jennifer Gearhart,14/06/1996,1
17/06/2016,Lisa Hazelwood,14/06/1996,1
17/06/2016,Henry Brunson,21/06/1996,1
17/06/2016,Laura Ingram,22/06/1996,1
17/06/2016,Sean Bishop,23/06/1996,1
17/06/2016,Justin Achenbach,29/06/1996,1
17/06/2016,Cynthia Kennedy,9/07/1996,1
17/06/2016,Felicia Preece,9/07/1996,1
17/06/2016,Florine Kim,14/07/1996,1
17/06/2016,Sheila Burch,18/07/1996,1
17/06/2016,Nellie Carney,19/07/1996,1
17/06/2016,Ruby Pace,24/07/1996,1
17/06/2016,Laura Murphy,2/08/1996,1
17/06/2016,Debbie Kern,6/08/1996,1
17/06/2016,Lucia Davis,22/08/1996,1
17/06/2016,Cynthia Allen,29/08/1996,1
17/06/2016,Leroy Gennaro,30/08/1996,1
17/06/2016,Michael Walden,3/09/1996,1
17/06/2016,Arthur Freund,7/09/1996,1
17/06/2016,Jeffrey Snow,9/09/1996,1
17/06/2016,Keith Hayward,9/09/1996,1
17/06/2016,Lucy Watson,11/09/1996,1
17/06/2016,Libby Locke,13/09/1996,1
17/06/2016,Jennifer Miller,16/09/1996,1
17/06/2016,Brittany Calvert,18/09/1996,1
17/06/2016,Sanford Huffman,2/10/1996,1
17/06/2016,Harry Duncan,7/10/1996,1
17/06/2016,Michael Denton,13/10/1996,1
17/06/2016,John Gilstrap,14/10/1996,1
17/06/2016,Jane Burton,18/10/1996,1
17/06/2016,Dalia Bonanno,10/11/1996,1
17/06/2016,Susan Medina,17/11/1996,1
17/06/2016,Christine Victoria,26/11/1996,1
17/06/2016,Suzanne Larson,2/12/1996,1
17/06/2016,Michael Sutton,5/12/1996,1
17/06/2016,Leroy Samela,27/12/1996,1
17/06/2016,Mario Heilmann,30/12/1996,1
17/06/2016,William Bench,4/01/1997,1
17/06/2016,Homer Castro,10/01/1997,1
17/06/2016,Mohammad Simonds,12/01/1997,1
17/06/2016,Clyde Bradley,15/01/1997,1
17/06/2016,Jeanette Kiser,16/01/1997,1
17/06/2016,Irma Cruz,21/01/1997,1
17/06/2016,Earl Weber,24/01/1997,1
17/06/2016,Eugene Velo,25/01/1997,1
17/06/2016,Linda Vasquez,28/01/1997,1
17/06/2016,David Graves,3/02/1997,1
17/06/2016,Shirley Walter,4/03/1997,1
17/06/2016,Katrina Beasley,6/03/1997,1
17/06/2016,Leslie Casey,7/03/1997,1
17/06/2016,Bryant Ahearn,8/03/1997,1
17/06/2016,Carolyn Schimmel,19/03/1997,1
17/06/2016,Thomas Kim,19/03/1997,1
17/06/2016,Mark Powers,23/03/1997,1
17/06/2016,Deanne Fisher,8/04/1997,1
17/06/2016,Jeanette Stupar,10/04/1997,1
17/06/2016,Melissa Balser,11/04/1997,1
17/06/2016,Robert Zohn,22/04/1997,1
17/06/2016,Louise Rush,24/04/1997,1
17/06/2016,Donna Riess,1/05/1997,1
17/06/2016,Jean Ketchum,6/05/1997,1
17/06/2016,Shirley Hatfield,12/05/1997,1
17/06/2016,Jean Vayner,15/05/1997,1
17/06/2016,Lawrence Olsen,15/05/1997,1
17/06/2016,Lisa Gustavson,22/05/1997,1
17/06/2016,Bruce Killeen,23/05/1997,1
17/06/2016,Ada Tejeda,24/05/1997,1
17/06/2016,Polly Mujalli,28/05/1997,1
17/06/2016,Alicia Turnage,2/06/1997,1
17/06/2016,Kellie Florio,13/06/1997,1
17/06/2016,Kim Rutledge,20/06/1997,1
17/06/2016,Nathaniel Malpass,2/07/1997,1
17/06/2016,Julie Ramirez,4/07/1997,1
17/06/2016,James Alfieri,6/07/1997,1
17/06/2016,Teresa Bahlmann,9/07/1997,1
17/06/2016,Thomas Palomo,9/07/1997,1
17/06/2016,Jerry Tracy,17/07/1997,1
17/06/2016,Frances Saleado,20/07/1997,1
17/06/2016,Frank Figueroa,23/07/1997,1
17/06/2016,Raymond Shannon,6/08/1997,1
17/06/2016,Jennifer Linder,12/08/1997,1
17/06/2016,Marsha Kennedy,27/08/1997,1
17/06/2016,Donald Reddout,29/08/1997,1
17/06/2016,Suzanne Bartley,3/09/1997,1
17/06/2016,Lucille Bell,7/09/1997,1
17/06/2016,Sharon Barton,8/09/1997,1
17/06/2016,Gayle Alexander,16/09/1997,1
17/06/2016,Melissa Cashman,16/09/1997,1
17/06/2016,Alice Seidel,18/09/1997,1
17/06/2016,Keith Sharp,23/09/1997,1
17/06/2016,Daniel Harris,7/10/1997,1
17/06/2016,Kathryn Dean,11/10/1997,1
17/06/2016,Lisa Sing,23/10/1997,1
17/06/2016,Michelle Riesner,18/11/1997,1
18/06/2016,Spencer Spencer,13/10/1991,0
18/06/2016,Lauryn George,17/10/1991,0
18/06/2016,Frances Bateman,6/05/1992,0
18/06/2016,Stacy Judd,2/06/1992,0
18/06/2016,Simon Hendricks,23/09/1992,0
18/06/2016,Pablo Weidler,27/09/1992,0
18/06/2016,Shirley Laswell,14/11/1992,0
18/06/2016,Donald Hammond,15/03/1993,0
18/06/2016,William Rasmussen,17/03/1993,0
18/06/2016,Robert Shepherd,30/03/1993,0
18/06/2016,Dale Kirkwood,22/05/1993,0
18/06/2016,Chris Macmillan,1/09/1993,0
18/06/2016,Jackie Henson,21/10/1993,0
18/06/2016,Mary Garret,12/11/1993,0
18/06/2016,Terri Kennedy,17/12/1993,0
18/06/2016,Ivory Edwards,14/02/1994,0
18/06/2016,Thomas Perez,22/02/1994,0
18/06/2016,Isaac Myers,1/03/1994,0
18/06/2016,Lettie Bloom,15/03/1994,0
18/06/2016,Angelica Ruiz,4/04/1994,0
18/06/2016,Franklin Olson,29/04/1994,0
18/06/2016,Deborah Woods,10/05/1994,0
18/06/2016,Carey Hamilton,10/07/1994,0
18/06/2016,Etha Holt,5/08/1994,0
18/06/2016,Janice Mcnatt,28/08/1994,0
18/06/2016,James Gantt,10/09/1994,0
18/06/2016,Claire Miller,15/09/1994,0
18/06/2016,Brandon Moore,25/10/1994,0
18/06/2016,Effie Garcia,14/11/1994,0
18/06/2016,Dong Brett,17/11/1994,0
18/06/2016,Peter Giannetti,18/11/1994,0
18/06/2016,Isreal Mathis,23/11/1994,0
18/06/2016,Roberto Fitzgerald,23/11/1994,0
18/06/2016,Kirby Roberts,26/11/1994,0
18/06/2016,Wai Houlahan,11/12/1994,0
18/06/2016,Barbara Mchale,19/12/1994,0
18/06/2016,Russell Segura,30/12/1994,0
18/06/2016,Brenda Mathis,15/01/1995,0
18/06/2016,Daniel Reed,22/01/1995,0
18/06/2016,Gary Hansberger,8/02/1995,0
18/06/2016,Rebecca Lynch,25/02/1995,0
18/06/2016,Caleb Jobe,2/03/1995,0
18/06/2016,Samuel Zubiate,9/03/1995,0
18/06/2016,Phyllis Romero,24/03/1995,0
18/06/2016,Luz Connelly,26/03/1995,0
18/06/2016,Mary Dicicco,31/03/1995,0
18/06/2016,Dorothy Elkins,12/04/1995,0
18/06/2016,Zofia Treinen,6/05/1995,0
18/06/2016,Byron Wafford,21/05/1995,0
18/06/2016,Anita Ullrich,16/06/1995,0
18/06/2016,John Braswell,22/06/1995,0
18/06/2016,Beatriz Wells,1/07/1995,0
18/06/2016,Karla Breaux,10/07/1995,0
18/06/2016,Adrienne Ruck,13/07/1995,0
18/06/2016,Patrick Kerley,13/07/1995,0
18/06/2016,Douglas Medina,19/07/1995,0
18/06/2016,Margaret Magallanes,7/08/1995,0
18/06/2016,Brenda Baker,16/08/1995,0
18/06/2016,Peter Romo,25/08/1995,0
18/06/2016,Babette Mitchell,27/08/1995,0
18/06/2016,Wendy Faison,10/09/1995,0
18/06/2016,James Foltz,13/09/1995,0
18/06/2016,Jeff Howell,13/09/1995,0
18/06/2016,Kathleen Benzi,15/09/1995,0
18/06/2016,Marie Justice,16/09/1995,0
18/06/2016,Thomas Collins,1/10/1995,0
18/06/2016,Jim Turner,8/10/1995,0
18/06/2016,Thaddeus Diaz,9/10/1995,0
18/06/2016,Edward Brown,11/10/1995,0
18/06/2016,Jerry Fritz,19/10/1995,0
18/06/2016,Ofelia Sexton,27/10/1995,0
18/06/2016,Charles Postell,31/10/1995,0
18/06/2016,Ricardo Hedman,7/11/1995,0
18/06/2016,Lynn Bernhart,13/11/1995,0
18/06/2016,Ivan Huertas,16/11/1995,0
18/06/2016,Jerry Carroll,19/11/1995,0
18/06/2016,Dawn Gandara,9/12/1995,0
18/06/2016,Dawn Douglas,10/12/1995,0
18/06/2016,Hulda Nogle,13/12/1995,0
18/06/2016,Cecilia Slone,14/12/1995,0
18/06/2016,Johnie Johnson,28/12/1995,0
18/06/2016,Elizabeth Wolley,29/12/1995,0
18/06/2016,Ronald Snook,3/01/1996,0
18/06/2016,Jeremy Garbe,4/01/1996,0
18/06/2016,Margaret Hickman,8/01/1996,0
18/06/2016,Wes Carlson,13/01/1996,0
18/06/2016,Martha Jamison,17/01/1996,0
18/06/2016,James Baker,21/01/1996,0
18/06/2016,Frances Schiavone,26/01/1996,0
18/06/2016,Steven Jones,3/02/1996,0
18/06/2016,Victor Ortiz,3/02/1996,0
18/06/2016,John Davis,5/02/1996,0
18/06/2016,Thomas Goleman,7/02/1996,0
18/06/2016,Robert Ewing,9/02/1996,0
18/06/2016,Jennell Thompson,24/02/1996,0
18/06/2016,Haley Fundora,2/03/1996,0
18/06/2016,Linda Gomez,8/03/1996,0
18/06/2016,William Couch,15/03/1996,0
18/06/2016,Robert Tweed,29/03/1996,0
18/06/2016,James Smith,10/04/1996,0
18/06/2016,Sharleen Johnson,17/04/1996,0
18/06/2016,Joseph Smith,25/04/1996,0
18/06/2016,George Walters,4/05/1996,0
18/06/2016,Betty Young,15/05/1996,0
18/06/2016,Cynthia Dominquez,16/05/1996,0
18/06/2016,Roger Ballance,16/05/1996,0
18/06/2016,Stephanie Malinowski,18/05/1996,0
18/06/2016,Jason Villegas,8/06/1996,0
18/06/2016,Henry Brunson,21/06/1996,0
18/06/2016,Cynthia Kennedy,9/07/1996,0
18/06/2016,Sheila Burch,18/07/1996,0
18/06/2016,Nellie Carney,19/07/1996,0
18/06/2016,Melanie Cooke,31/07/1996,0
18/06/2016,Debbie Kern,6/08/1996,0
18/06/2016,Tad Lopez,9/08/1996,0
18/06/2016,Michelle Moore,13/08/1996,0
18/06/2016,Dora Sims,15/08/1996,0
18/06/2016,Edith Alexander,18/08/1996,0
18/06/2016,Lucia Davis,22/08/1996,0
18/06/2016,David Reid,27/08/1996,0
18/06/2016,Sammy Fox,31/08/1996,0
18/06/2016,Michael Walden,3/09/1996,0
18/06/2016,Janet Greene,6/09/1996,0
18/06/2016,Arthur Freund,7/09/1996,0
18/06/2016,Lucy Watson,11/09/1996,0
18/06/2016,Matthew Hopper,15/09/1996,0
18/06/2016,Brittany Calvert,18/09/1996,0
18/06/2016,Timothy Bembry,22/09/1996,0
18/06/2016,Justin Godoy,30/09/1996,0
18/06/2016,Jenni Ager,1/10/1996,0
18/06/2016,Irma Tseng,3/11/1996,0
18/06/2016,Tracy Strope,3/11/1996,0
18/06/2016,Craig Burks,4/11/1996,0
18/06/2016,Shawn Niebaum,6/11/1996,0
18/06/2016,Dalia Bonanno,10/11/1996,0
18/06/2016,William Johnson,13/11/1996,0
18/06/2016,John Borden,27/11/1996,0
18/06/2016,James Scott,29/11/1996,0
18/06/2016,Sylvia Mcafee,9/12/1996,0
